Song_Track,Composer,Genre,Album,Artist,Unit_Price_dollars,Total_runtime_min,song_size_Mb
Time Is On My Side,Jerry Ragavoy,Rock,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,0.99,3.0,5.58
Royal Orleans,John Bonham/John Paul Jones,Rock,Presence,Led Zeppelin,0.99,2.99,5.66
Paranoid,"A. F. Iommi, W. Ward, T. Butler, J. Osbourne",Metal,Tribute,Ozzy Osbourne,0.99,2.94,5.46
Get Me Outta Here,C. Cester/N. Cester,Alternative & Punk,Get Born,JET,0.99,2.94,5.46
KKK Bitch,Unknown,Alternative & Punk,Body Count,Body Count,0.99,2.88,5.45
End Of The Night,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",Rock,The Doors,The Doors,0.99,2.88,5.33
O Bicho Tá Pregando,Unknown,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,0.99,2.87,5.42
Tanto Tempo,Vários,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,0.99,2.84,5.31
Beth,"Peter Criss, Stan Penridge, Bob Ezrin",Rock,Unplugged [Live],Kiss,0.99,2.84,5.32
Angela,Unknown,Jazz,Warner 25 Anos,Antônio Carlos Jobim,0.99,2.83,5.32
Minority,Billie Joe Armstrong -Words Green Day -Music,Alternative & Punk,International Superhits,Green Day,0.99,2.81,5.28
Flash,"May, Brian",Rock,Greatest Hits I,Queen,0.99,2.81,5.21
Think,Lowman Pauling,R&B/Soul,Sex Machine,James Brown,0.99,2.78,5.26
Carta Ao Tom 74,Unknown,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,0.99,2.71,5.13
They Can't Take That Away From Me,george gershwin/ira gershwin,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra,0.99,2.69,5.0
A Festa Do Santo Reis,Unknown,Latin,Serie Sem Limite (Disc 2),Tim Maia,0.99,2.66,4.96
Solar,"Milton Nascimento, Fernando Brant",Latin,Milton Nascimento Ao Vivo,Milton Nascimento,0.99,2.6,4.86
Brasil,"Milton Nascimento, Fernando Brant",Latin,Milton Nascimento Ao Vivo,Milton Nascimento,0.99,2.59,5.01
"Toccata and Fugue in D Minor, BWV 565: I. Toccata",Johann Sebastian Bach,Classical,Bach: Toccata & Fugue in D Minor,Ton Koopman,0.99,2.57,2.53
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,Alternative & Punk,International Superhits,Green Day,0.99,2.56,4.84
Minas,"Milton Nascimento, Caetano Veloso",Latin,Minas,Milton Nascimento,0.99,2.54,4.69
Não Sei O Que Eu Quero Da Vida,Unknown,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,0.99,2.53,4.79
Break on Through,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",Rock,The Doors,The Doors,0.99,2.49,4.71
Die Die My Darling,Danzig,Metal,Garage Inc. (Disc 1),Metallica,0.99,2.49,4.64
Surprise! You're Dead!,Faith No More,Alternative & Punk,The Real Thing,Faith No More,0.99,2.45,4.6
The Worst,Jagger/Richards,Rock,Voodoo Lounge,The Rolling Stones,0.99,2.41,4.53
Territorial Pissings,Kurt Cobain,Rock,Nevermind,Nirvana,0.99,2.39,4.4
Got That Feeling,Mike Patton,Alternative & Punk,Album Of The Year,Faith No More,0.99,2.35,4.43
Canário Do Reino,Unknown,Latin,Serie Sem Limite (Disc 2),Tim Maia,0.99,2.32,4.34
A Banda,Unknown,Latin,Minha Historia,Chico Buarque,0.99,2.21,4.15
Black Mountain Side,Jimmy Page,Rock,Led Zeppelin I,Led Zeppelin,0.99,2.21,4.23
Hello Mary Lou,J.C. Fogerty,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival,0.99,2.21,4.27
Sangue De Bairro,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,2.2,4.21
As Rosas Não Falam (Beth Carvalho),Unknown,Latin,Vozes do MPB,Various Artists,0.99,1.95,3.66
Lords Of The Backstage,"Kelly, Mosley, Rothery, Trewaves",Rock,Misplaced Childhood,Marillion,0.99,1.88,3.57
"Concert pour 4 Parties de V**les, H. 545: I. Prelude",Marc-Antoine Charpentier,Classical,"Charpentier: Divertissements, Airs & Concerts",Les Arts Florissants & William Christie,0.99,1.84,1.88
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,"Arlindo Cruz/Franco/Marquinhos PQD/Negro, Jovelina Pérolo/Zeca Pagodinho",Latin,Ao Vivo [IMPORT],Zeca Pagodinho,0.99,1.79,3.43
Eruption,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",Rock,Van Halen,Van Halen,0.99,1.71,3.13
Enquanto O Mundo Explode,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,1.48,2.83
They're Red Hot,Robert Johnson,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,0.99,1.2,2.27
Arc,Pearl Jam,Rock,Riot Act,Pearl Jam,0.99,1.09,2.0
The Star Spangled Banner,"Hendrix, Jimi",Rock,Rattle And Hum,U2,0.99,0.72,1.32
Freedom For My People,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",Rock,Rattle And Hum,U2,0.99,0.64,1.19
The Real Problem,Unknown,Alternative & Punk,Body Count,Body Count,0.99,0.19,0.37
Oprah,Unknown,Alternative & Punk,Body Count,Body Count,0.99,0.11,0.21
A Statistic,Unknown,Alternative & Punk,Body Count,Body Count,0.99,0.11,0.2
